Crockett,Gillmore,TE,1.87
Xavier,Grimble,TE,1.83
Darren,Waller,TE,1.71
Ifeanyi,Momah,TE,1.6
Ben,Koyack,TE,1.58
Antonio,Brown,WR,13.42
Mike,Evans,WR,13.01
Jordy,Nelson,WR,12.98
Julio,Jones,WR,12.64
Odell,Beckham,WR,12.35
A.J.,Green,WR,12.04
T.Y.,Hilton,WR,11.43
Michael,Thomas,WR,10.91
Davante,Adams,WR,10.73
Brandin,Cooks,WR,10.52
Eric,Decker,WR,10.47
Dez,Bryant,WR,10
Doug,Baldwin,WR,9.98
Tyreek,Hill,WR,9.75
Michael,Crabtree,WR,9.39
Amari,Cooper,WR,9.33
Tyrell,Williams,WR,9.24
Rishard,Matthews,WR,9.16
Jarvis,Landry,WR,8.58
Larry,Fitzgerald,WR,8.55
Kenny,Britt,WR,8.55
Terrelle,Pryor,WR,8.53
Demaryius,Thomas,WR,8.52
Stefon,Diggs,WR,8.41
Kelvin,Benjamin,WR,8.38
Emmanuel,Sanders,WR,8.35
DeSean,Jackson,WR,8.3
Julian,Edelman,WR,8.27
Golden,Tate,WR,8.26
Mike,Wallace,WR,8.18
Jamison,Crowder,WR,8.16
Steve,Smith,WR,8.14
Cameron,Meredith,WR,8.11
Taylor,Gabriel,WR,8.08
Donte,Moncrief,WR,8.07
Willie,Snead,WR,7.97
Kenny,Stills,WR,7.91
Allen,Robinson,WR,7.89
Adam,Thielen,WR,7.89
Alshon,Jeffery,WR,7.84
Marin,Jones,WR,7.82
Pierre,Garcon,WR,7.63
Brandon,LaFell,WR,7.63
DeAndre,Hopkins,WR,7.46
Sterling,Shepard,WR,7.46
Greg,Salas,WR,7.45
Marquess,Wilson,WR,7.33
Marqise,Lee,WR,7.21
Cole,Beasley,WR,7.13
Jordan,Matthews,WR,7.03
J.J.,Nelson,WR,7.01
Quincy,Enunwa,WR,6.93
Sammy,Watkins,WR,6.88
Randall,Cobb,WR,6.79
Anquan,Boldin,WR,6.65
Ted,Ginn,WR,6.56
Dontrelle,Inman,WR,6.56
DeVante,Parker,WR,6.56
Brandon,Marshall,WR,6.45
Keenan,Allen,WR,6.3
Eddie,Royal,WR,6.1
Travis,Benjamin,WR,6.1
Chris,Hogan,WR,6.06
Corey,Coleman,WR,6.03
Eli,Rogers,WR,6
Mohamed,Sanu,WR,5.99
Allen,Hurns,WR,5.97
Tavon,Austin,WR,5.92
Will,Fuller,WR,5.8
Kendall,Wright,WR,5.55
Tyler,Lockett,WR,5.54
Jeremy,Maclin,WR,5.46
Michael,Floyd,WR,5.25
Robert,Woods,WR,5.22
Adam,Humphries,WR,5.2
Jeremy,Kerley,WR,5.17
Terrance,Williams,WR,5.09
Demarcus,Ayers,WR,5.05
Kevin,White,WR,4.9
Brian,Quick,WR,4.65
Seth,Roberts,WR,4.61
Malcolm,Mitchell,WR,4.58
Robby,Anderson,WR,4.56
Phillip,Dorsett,WR,4.39
Tyler,Boyd,WR,4.38
Markus,Wheaton,WR,4.37
John,Brown,WR,4.31
Breshad,Perriman,WR,4.26
Cordarrelle,Patterson,WR,4.23
Devin,Funchess,WR,4.21
Victor,Cruz,WR,4.17
Marquise,Goodwin,WR,4.07
Sammie,Coates,WR,4.06
Tajae,Sharpe,WR,4.02
Danny,Amendola,WR,3.86
Torrey,Smith,WR,3.73
Jermaine,Kearse,WR,3.56
Darrius,Heyward-Bey,WR,3.54
Jaron,Brown,WR,3.53
Vincent,Jackson,WR,3.46
Nelson,Agholor,WR,3.46
Dorial,Green-Beckham,WR,3.41
Russell,Shepard,WR,3.36
Bryan,Walters,WR,3.35
Chris,Conley,WR,3.31
Justin,Hunter,WR,3.3
Josh,Doctson,WR,3.3
Geronimo,Allison,WR,3.22
Cobi,Hamilton,WR,3.22
Albert,Wilson,WR,3.18
Paul,Turner,WR,3.15
Andrew,Hawkins,WR,3.15
TJ,Jones,WR,3.1
Nick,Williams,WR,2.95
Quinton,Patton,WR,2.91
Brandon,Coleman,WR,2.88
Aldrick,Robinson,WR,2.77
Justin,Hardy,WR,2.77
Andre,Johnson,WR,2.56
Joshua,Bellamy,WR,2.56
Cody,Core,WR,2.5
Wendall,Williams,WR,2.5
Brice,Butler,WR,2.49
Josh,Huff,WR,2.48
Kamar,Aiken,WR,2.43
Jalin,Marshall,WR,2.42
Michael,Campanaro,WR,2.4
Paul,Richardson,WR,2.35
Tanner,McEvoy,WR,2.19
Deonte,Thompson,WR,2.18
Andre,Roberts,WR,2.18
Charone,Peake,WR,2.04
Bennie,Fowler,WR,2.04
Corey,Brown,WR,2.01
Chester,Rogers,WR,1.95
Rod,Streater,WR,1.94
Jordan,Taylor,WR,1.93
Andre,Holmes,WR,1.91
Walt,Powell,WR,1.91
Harry,Douglas,WR,1.91
Roger,Lewis,WR,1.9
Cecil,Shorts,WR,1.69
Jordan,Norwood,WR,1.66
Jaelen,Strong,WR,1.64
Jeremy,Ross,WR,1.62
Damiere,Byrd,WR,1.6
Braxton,Miller,WR,1.59
Jarius,Wright,WR,1.59
Jeff,Janis,WR,1.57
